,,,,,,,,,," 16,542,750,383 "
Accounting Period Year,Accounting Period Month,Month Manufactured,Day Manufactured,Year Manufactured,Plant of Manufacture,Train,Plant Code,Trade Product Code,Value Center Code, Inventory Net Weight LBS 
2013,02,November,17,2012,Plant A,3C,1130,00119400,00007129," 421,194 "
2013,02,November,17,2012,Plant M,43,1112,00062814,00007119," 382,369 "
2013,02,November,17,2012,Plant R,1C,1119,00092953,00009995," 35,188 "
2013,02,November,17,2012,Plant R,1F,1116,00092953,00009995," 212,806 "
2013,02,November,18,2012,Plant N,3F,1110,00237129,00007129," 434,900 "
2013,02,November,19,2012,Plant N,3A,1116,00002160,00007129," 426,832 "
2013,02,November,19,2012,Plant N,3B,1116,00002160,00007129," 425,860 "
2013,02,November,19,2012,Plant N,3D,1116,00002160,00007129," 430,915 "
2013,02,November,19,2012,Plant N,3E,1116,00002160,00007129," 430,429 "
2013,02,November,19,2012,Plant N,3F,1116,00002160,00007129," 433,539 "
2013,02,November,19,2012,Plant R,1D,1124,00086301,00009995," 647,088 "
2013,02,November,20,2012,Plant B,EC,1121,00102502,00007960," 522,164 "
2013,02,November,20,2012,Plant B,ED,1121,00102502,00007960," 489,536 "
2013,02,November,20,2012,Plant C,11,1126,00236242,00007119," 383,604 "
2013,02,November,20,2012,Plant Q,13,1116,00108437,00007960," 488,544 "
2013,02,November,21,2012,Plant A,1C,1116,00103997,00007129," 435,095 "
2013,02,November,21,2012,Plant A,1D,1160,00103997,00007129," 2,047 "
2013,02,November,21,2012,Plant B,EA,1121,00102502,00007960," 474,765 "
2013,02,November,21,2012,Plant D,02,1127,00104781,00007961," 580,300 "
2013,02,November,21,2012,Plant D,03,1127,00104781,00007961," 583,872 "
2013,02,November,21,2012,Plant N,3C,1116,00002161,00007129," 426,249 "
2013,02,November,22,2012,Plant D,01,1127,00104781,00007961," 566,014 "
2013,02,November,23,2012,Plant C,54,1113,00047053,00007129," 426,054 "
